TestCaseID,Scenario,Title,Priority,Type,AutomationStatus,SpecFile,AutomatedTestName,Reason,Notes
"TC_DDBD_QTHT_DN_01_01","TS_DDBD_QTHT_DN_01","Kiểm tra hiển thị form đăng nhập","Cao","GUI","BLOCKED","tests/auth/login.spec.ts","[TC_DDBD_QTHT_DN_01_01] Kiểm tra hiển thị form đăng nhập","Khung test đã được đăng ký, nhưng cần credentials và locator quan sát trực tiếp trước khi có assertion UI.","Test Data nguồn đã được loại khỏi artefact để tránh lộ dữ liệu nhạy cảm."
"TC_DDBD_QTHT_DN_01_02","TS_DDBD_QTHT_DN_01","Kiểm tra hiển thị chi tiết popup","Cao","GUI","BLOCKED","tests/auth/login.spec.ts","[TC_DDBD_QTHT_DN_01_02] Kiểm tra hiển thị chi tiết popup","Khung test đã được đăng ký, nhưng cần credentials và locator quan sát trực tiếp trước khi có assertion UI.","Test Data nguồn đã được loại khỏi artefact để tránh lộ dữ liệu nhạy cảm."
"TC_DDBD_QTHT_DN_01_03","TS_DDBD_QTHT_DN_01","Kiểm tra đăng nhập với tên tài khoản đúng và mật khẩu đúng","Cao","Functional","BLOCKED","tests/auth/login.spec.ts","[TC_DDBD_QTHT_DN_01_03] Kiểm tra đăng nhập với tên tài khoản đúng và mật khẩu đúng","Khung test đã được đăng ký, nhưng cần credentials và locator quan sát trực tiếp trước khi có assertion UI.","Test Data nguồn đã được loại khỏi artefact để tránh lộ dữ liệu nhạy cảm."
"TC_DDBD_QTHT_DN_01_04","TS_DDBD_QTHT_DN_01","Kiểm tra đăng nhập với tên tài khoản sai và mật khẩu đúng","Cao","Functional","BLOCKED","tests/auth/login.spec.ts","[TC_DDBD_QTHT_DN_01_04] Kiểm tra đăng nhập với tên tài khoản sai và mật khẩu đúng","Khung test đã được đăng ký, nhưng cần credentials và locator quan sát trực tiếp trước khi có assertion UI.","Test Data nguồn đã được loại khỏi artefact để tránh lộ dữ liệu nhạy cảm."
"TC_DDBD_QTHT_DN_01_05","TS_DDBD_QTHT_DN_01","Kiểm tra đăng nhập với tên tài khoản đúng và mật khẩu sai","Cao","Functional","BLOCKED","tests/auth/login.spec.ts","[TC_DDBD_QTHT_DN_01_05] Kiểm tra đăng nhập với tên tài khoản đúng và mật khẩu sai","Khung test đã được đăng ký, nhưng cần credentials và locator quan sát trực tiếp trước khi có assertion UI.","Test Data nguồn đã được loại khỏi artefact để tránh lộ dữ liệu nhạy cảm."
"TC_DDBD_QTHT_DN_01_06","TS_DDBD_QTHT_DN_01","Kiểm tra đăng nhập với tên tài khoản sai và mật khẩu sai","Cao","Functional","BLOCKED","tests/auth/login.spec.ts","[TC_DDBD_QTHT_DN_01_06] Kiểm tra đăng nhập với tên tài khoản sai và mật khẩu sai","Khung test đã được đăng ký, nhưng cần credentials và locator quan sát trực tiếp trước khi có assertion UI.","Test Data nguồn đã được loại khỏi artefact để tránh lộ dữ liệu nhạy cảm."
"TC_DDBD_QTHT_DN_01_07","TS_DDBD_QTHT_DN_01","Kiểm tra bỏ trống dữ liệu","Cao","Functional","BLOCKED","tests/auth/login.spec.ts","[TC_DDBD_QTHT_DN_01_07] Kiểm tra bỏ trống dữ liệu","Khung test đã được đăng ký, nhưng cần credentials và locator quan sát trực tiếp trước khi có assertion UI.","Test Data nguồn đã được loại khỏi artefact để tránh lộ dữ liệu nhạy cảm."
"TC_DDBD_QTHT_DN_01_08","TS_DDBD_QTHT_DN_01","Kiểm tra lỗ hổng sql injection","Cao","Functional","SKIPPED_SAFETY","tests/auth/logout.spec.ts","[TC_DDBD_QTHT_DN_01_08] Kiểm tra lỗ hổng sql injection","Security test cần RUN_SECURITY=true, quyền môi trường và locator đã được khảo sát; mặc định không chạy.","Test Data nguồn đã được loại khỏi artefact để tránh lộ dữ liệu nhạy cảm."
"TC_DDBD_QTHT_DN_01_09","TS_DDBD_QTHT_DN_01","Hệ thống khóa tài khoản người dùng khi đăng nhập sai quá số lần quy định","Cao","Functional","SKIPPED_SAFETY","tests/auth/profile.spec.ts","[TC_DDBD_QTHT_DN_01_09] Hệ thống khóa tài khoản người dùng khi đăng nhập sai quá số lần quy định","Chỉ được chạy với LOCKOUT_TEST_USERNAME riêng và RUN_SECURITY=true; không thử khóa tài khoản quản trị.","Test Data nguồn đã được loại khỏi artefact để tránh lộ dữ liệu nhạy cảm."
"TC_DDBD_QTHT_DN_02_01","TS_DDBD_QTHT_DN_02","Kiểm tra hiển thị nút Đăng xuất","Cao","Functional","BLOCKED","tests/security/login-input-security.spec.ts","[TC_DDBD_QTHT_DN_02_01] Kiểm tra hiển thị nút Đăng xuất","Khung test đã được đăng ký, nhưng cần credentials và locator quan sát trực tiếp trước khi có assertion UI.","Test Data nguồn đã được loại khỏi artefact để tránh lộ dữ liệu nhạy cảm."
